# Project: Cozy MKIV N657CZ Electrical Schematic
# Issue Date: 1/7/14
# Revision: 4
#
Wire Label,From Component,From Pin,To Component,To Pin,Wire Gauge,Wire Color,Length,Wire Type,Notes,Warnings
A10A,SW11,2,FH2,2,-99,Blue,62.4,M22759/16,,Cannot determine circuit current - missing load/source data
A10B,SW11,1,FH6,1,-99,Blue,45.8,M22759/16,,Cannot determine circuit current - missing load/source data
A11A,LRU24,2,FH6,Val_A,24,Blue,59.199999999999996,M22759/16,,
A12A,LRU27,2,FH6,Val_A,24,Blue,60.3,M22759/16,,
A13A,LRU32,2,FH6,Val_A,24,Blue,134.6,M22759/16,,
A14A,LRU33,2,FH6,Val_A,24,Blue,38.6,M22759/16,,
A20A,LRU21,2,FH2,3,18,Blue,70.3,M22759/16,,
A30A,FH2,4,LRU22,2,22,Blue,65.8,M22759/16,,
A40A,FH2,5,LRU28,2,24,Blue,58.99999999999999,M22759/16,,
A50A,LRU25,2,FH2,6,24,Blue,213.6,M22759/16,,
A60A,LRU26,2,FH2,7,24,Blue,53.699999999999996,M22759/16,,
A70A,FH3,Val_A,LRU10-C,2,20,Blue,69.5,M22759/16,,
A71A,FH2,8,LRU10-N,2,24,Blue,60.7,M22759/16,,
A80A,FH3,Val_A,LRU11,2,24,Blue,62.89999999999999,M22759/16,,
E22A,LRU5,1,R5,3,24,Brown,37.4,M22759/16,,
E23A,LRU5,2,R5,4,24,Brown,37.4,M22759/16,,
E31A,LRU3,1,F4,1,24,Brown,38.300000000000004,M22759/16,20AWG,
E32A,LRU3,2,F5,1,24,Brown,39.300000000000004,M22759/16,,
E40A,C4,,F6,1,6,Brown,32.8,M22759/16,> 6in 4AWG,
E40B,C4,,M2,2,6,Brown,85.59999999999998,M22759/16,4AWG,
E41A,FH1,Val_A,SW13,1,20,Brown,116.2,M22759/16,20AWG,
E41B,LRU6,1,SW13,2,20,Brown,114.4,M22759/16,20AWG,
E42A,FH3,Val_A,SW13,4,-99,Brown,61.3,M22759/16,,Cannot determine circuit current - missing load/source data
E42B,SW14,3,SW13,5,-99,Brown,25.0,M22759/16,,Cannot determine circuit current - missing load/source data
E44A,C4,,SW14,2,24,Brown,118.60000000000002,M22759/16,4AWG,
E45A,LRU7,1,SW14,5,18,Brown,123.10000000000002,M22759/16,20AWG SHIELDED,
E991A,W1,1,SW14,6,-99,Brown,24.599999999999998,M22759/16,,Cannot determine circuit current - missing load/source data
E992A,LRU7,2,W2,1,18,Brown,24.899999999999988,M22759/16,,
G10A,GND2,1,BT2,2,2,Black,31.400000000000006,M22759/16,4AWG,
G11A,SW5,1,GND3,1,-99,Black,53.49999999999999,M22759/16,,Cannot determine circuit current - missing load/source data
G21A,SW2,1,GND3,1,-99,Black,51.49999999999999,M22759/16,,Cannot determine circuit current - missing load/source data
G22A,GND1,1,A2,2,6,Black,54.8,M22759/16,,
G23A,GND2,1,LRU8,7,22,Black,31.9,M22759/16,20AWG,
G31A,LRU2,6,GND2,1,-99,Black,42.8,M22759/16,,Cannot determine circuit current - missing load/source data
G32A,C3,2,GND2,1,-99,Black,41.8,M22759/16,,Cannot determine circuit current - missing load/source data
G41A,GND1,1,M2,1,6,Black,73.0,M22759/16,,
G42A,C4,,GND2,1,24,Black,28.90000000000001,M22759/16,4AWG,
G43A,LRU6,2,GND2,1,22,Black,30.1,M22759/16,,
G50A,BT1,2,GND3,1,16,Black,31.099999999999998,M22759/16,,
G52A,SW1,2,GND3,1,-99,Black,43.89999999999999,M22759/16,22AWG,Cannot determine circuit current - missing load/source data
G53A,R2,3,GND3,1,-99,Black,42.900000000000006,M22759/16,,Cannot determine circuit current - missing load/source data
G54A,LRU61,6,GND3,1,24,Black,52.4,M22759/16,,
G61A,CON1,2,GND2,1,-99,Black,58.9,M22759/16,4AWG,Cannot determine circuit current - missing load/source data
G62A,B1,1,GND3,1,-99,Black,59.89999999999999,M22759/16,,Cannot determine circuit current - missing load/source data
G101A,LRU28,1,GND3,1,24,Black,48.0,M22759/16,,
G102A,LRU25,1,GND3,1,24,Black,219.8,M22759/16,,
G103A,LRU26,1,GND3,1,24,Black,44.5,M22759/16,,
G104A,GND3,1,LRU22,1,22,Black,52.4,M22759/16,,
G105A,LRU21,1,GND3,1,18,Black,61.099999999999994,M22759/16,,
G106A,C2,4,F3,1,24,Black,145.0,M22759/16,4AWG > 6in,
G107A,LRU27,1,GND3,1,24,Black,49.5,M22759/16,,
G108A,C2,3,SW5,2,24,Black,126.70000000000002,M22759/16,22AWG,
G109A,LRU33,1,GND3,1,24,Black,49.0,M22759/16,,
G110A,L23,2,GND3,1,24,Black,63.4,M22759/16,,
G111A,L6,2,GND3,1,24,Black,139.8,M22759/16,,
G112A,LRU81,1,GND3,1,22,Black,43.8,M22759/16,,
G113A,GND3,1,L7,2,22,Black,72.30000000000001,M22759/16,,
G114A,GND3,1,L9,2,22,Black,67.7,M22759/16,,
G115A,LRU85,2,GND3,1,18,Black,333.0,M22759/16,,
G116A,LRU89,2,GND3,1,18,Black,325.4,M22759/16,,
G117A,LRU60,1,GND3,1,22,Black,52.8,M22759/16,,
G121A,GND2,1,LRU17,2,18,Black,48.49999999999999,M22759/16,,
G122A,LRU12,2,GND2,1,18,Black,50.3,M22759/16,,
G123A,GND2,1,LRU14,4,18,Black,65.1,M22759/16,,
G124A,GND2,1,LRU15,4,18,Black,80.5,M22759/16,,
G125A,GND2,1,LRU16,4,16,Black,134.0,M22759/16,,
G126A,GND2,1,LRU20,1,18,Black,93.30000000000001,M22759/16,,
G127A,GND3,1,LRU13,1,18,Black,72.30000000000001,M22759/16,,
G128A,LRU2,3,R4,2,-99,Black,41.5,M22759/16,,Cannot determine circuit current - missing load/source data
G129A,LRU18,1,GND3,1,22,Black,46.900000000000006,M22759/16,,
G130A,LRU23,1,GND3,1,24,Black,58.900000000000006,M22759/16,,
G1010A,GND3,1,LRU10-N,1,24,Black,47.3,M22759/16,,
G1011A,GND3,1,LRU11,1,24,Black,48.8,M22759/16,,
G1012A,GND3,1,LRU10-C,1,20,Black,52.4,M22759/16,,
L10A,FH3,Val_A,SW23,1,18,White,65.4,M22759/16,,
L10B,L7,1,SW23,4,18,White,78.6,M22759/16,,
L10C,L9,1,SW23,6,18,White,76.0,M22759/16,,
L20A,FH3,Val_A,SW24,2,16,White,64.4,M22759/16,,
L20B,LRU85,1,GND2,1,16,White,247.90000000000003,M22759/16,,
L20C,LRU89,1,GND2,1,16,White,242.10000000000002,M22759/16,,
L21A,LRU85,3,LRU89,3,14,White,361.6,M22759/16,,
L30A,FH3,Val_A,SW24,5,16,White,64.4,M22759/16,,
L30B,LRU85,4,SW24,4,16,White,322.1,M22759/16,,
L30C,LRU89,4,SW24,4,16,White,321.5,M22759/16,,
L40A,LRU60,2,FH3,Val_A,22,White,77.5,M22759/16,,
L50A,FH1,Val_A,LRU81,2,22,White,123.4,M22759/16,,
L52A,LRU81,3,R7,2,22,White,25.799999999999997,M22759/16,,
L53A,LRU81,4,R7,1,22,White,25.799999999999997,M22759/16,,
L54A,L6,1,LRU81,6,20,White,124.0,M22759/16,,
L55A,L23,1,LRU81,5,20,White,54.0,M22759/16,,
L99A,SW23,2,SW23,5,-99,White,24.0,M22759/16,,Cannot determine circuit current - missing load/source data
M10A,SW8,2,FH1,Val_A,18,Yellow,113.80000000000001,M22759/16,,
M10B,SW8,1,LRU14,1,18,Yellow,92.0,M22759/16,,
M11A,SW8,3,LRU14,3,18,Yellow,92.0,M22759/16,,
M20A,FH3,Val_A,SW7,2,18,Yellow,66.5,M22759/16,,
M20B,SW7,1,LRU17,1,18,Yellow,124.60000000000001,M22759/16,22AWG,
M21A,LRU12,1,SW7,4,18,Yellow,126.0,M22759/16,22AWG,
M30A,FH3,Val_A,SW9,2,18,Yellow,50.2,M22759/16,,
M30B,LRU4,2,SW9,1,18,Yellow,25.9,M22759/16,,
M30C,LRU15,1,LRU4,1,18,Yellow,70.8,M22759/16,,
M31A,LRU15,3,SW9,3,18,Yellow,69.5,M22759/16,,
M40A,FH3,Val_A,SW10,2,18,Yellow,51.2,M22759/16,,
M40B,SW10,1,LRU16,1,18,Yellow,41.39999999999999,M22759/16,,
M41A,SW10,3,LRU16,3,18,Yellow,41.39999999999999,M22759/16,,
M50A,SW6,2,FH3,Val_A,18,Yellow,76.5,M22759/16,,
M50B,SW6,1,LRU20,2,18,Yellow,85.0,M22759/16,,
M60A,FH3,Val_A,B4,1,18,Yellow,65.6,M22759/16,,
M60B,B4,2,LRU13,2,18,Yellow,78.8,M22759/16,,
M71A,FH3,Val_A,SW12,2,20,Yellow,51.2,M22759/16,,
M71B,B6,1,SW12,3,20,Yellow,43.099999999999994,M22759/16,,
M71C,LRU19,2,B6,2,20,Yellow,221.7,M22759/16,,
M72A,FH3,Val_A,SW12,5,22,Yellow,51.2,M22759/16,,
M72B,B7,1,SW12,6,22,Yellow,44.099999999999994,M22759/16,,
M72C,LRU18,2,B7,2,22,Yellow,58.9,M22759/16,,
M80A,FH3,Val_A,LRU23,2,24,Yellow,60.0,M22759/16,,
M99A,FH3,Val_A,SW7,2,-99,Yellow,66.5,M22759/16,,Cannot determine circuit current - missing load/source data
P10A,C2,1,BT2,1,24,Red,38.10000000000001,M22759/16,4AWG,
